date,code,close,open,low,high,volume,amount
2013-01-04,002475,27.75,27.93,27.7,28.19,406200.0,11348424.0
2013-01-04,002475,27.7,27.75,27.55,27.8,181000.0,5006675.0
2013-01-04,002475,27.7,27.72,27.63,27.8,112300.0,3114671.0
2013-01-04,002475,27.68,27.7,27.5,27.74,191500.0,5297166.0
2013-01-07,002475,27.67,27.45,27.07,27.89,142600.0,3949968.0
2013-01-07,002475,27.4,27.67,27.24,27.68,146500.0,4040411.0
2013-01-07,002475,27.62,27.5,27.35,27.67,149700.0,4105957.0
2013-01-07,002475,27.64,27.59,27.44,27.65,108700.0,2999132.0
2013-01-08,002475,27.67,27.76,27.36,27.76,155500.0,4297073.0
2013-01-08,002475,28.44,27.65,27.65,28.51,808600.0,22664004.0
2013-01-08,002475,28.77,28.39,28.3,28.99,773200.0,22163364.0
2013-01-08,002475,28.8,28.77,28.56,28.89,376600.0,10825120.0
2013-01-09,002475,28.44,28.8,28.35,29.0,153600.0,4410229.0
2013-01-09,002475,29.1,28.44,28.4,29.1,379000.0,10896168.0
2013-01-09,002475,29.3,29.09,28.82,29.35,696500.0,20280564.0
2013-01-09,002475,29.5,29.3,29.0,29.7,620900.0,18225908.0
2013-01-10,002475,29.4,29.5,29.05,29.5,90800.0,2661794.0
2013-01-10,002475,29.49,29.4,29.22,29.55,202400.0,5957069.0
2013-01-10,002475,30.3,29.5,29.5,31.48,529100.0,16008491.0
2013-01-10,002475,30.09,30.35,30.0,30.35,276400.0,8309360.0
2013-01-11,002475,30.0,30.12,29.58,30.15,131100.0,3932226.0
2013-01-11,002475,30.33,30.02,30.0,30.56,218100.0,6621216.0
2013-01-11,002475,30.03,30.33,29.94,30.33,236500.0,7124648.0
2013-01-11,002475,29.68,30.03,29.68,30.15,349500.0,10475350.0
2013-01-14,002475,29.94,30.3,29.48,30.3,176200.0,5254250.0
2013-01-14,002475,30.3,29.92,29.9,30.3,104200.0,3129795.0
