,close,open,low,high,pctChg,pctChg2,pctChg4,pctChg8,pctChg15,pctChg30,20_min,60_min,20_max,60_max,5_d,10_d,20_d,40_d,80_d,r5,r10,r20,r40,r80,r5_20,r10_40,r20_80,r5_40,r5_20_d,r10_40_d,r20_80_d,v5,v10,v20,v40,v80,v3_9,v5_20,v9_50,v5_d,v10_d,v20_d,v40_d,v80_d,v3_9_d,v5_20_d,v9_50_d,dif,dea,hist,hist_d,highratio,lowratio,openratio,tema,trima,wma,t3,natr,adosc,obv,beta,correl,linearreg,lineangle,var,TSF,lineintercept,stddev,sar,adx,adxr,apo,ardown,arup,arosc,bop,cci,cci_d
100,1.411,1.398,1.412,1.412,0.2426,0.2416,0.4612,0.4165,-0.00342,-0.00342,1.312,0.878,-0.1272,-0.1197,0.4495,0.2954,-0.06,0.0,0.1471,0.2788,0.3882,0.1831,0.06183,0.02666,0.0771,-0.1532,-0.0794,-0.02231,0.557,0.323,-0.1536,1.172,1.006,0.8345,0.8384,0.65,1.752,1.438,1.36,-0.2206,-0.1783,-0.1533,-0.1635,-0.1266,0.2598,0.04422,-0.1537,-0.11285,-0.2598,0.432,0.6006,0.0,0.5996,0.0,2.043,2.047,2.049,2.041,-0.186,0.2886,0.0756,0.10205,0.343,0.5923,0.316,0.5273,13.65,1.423,-1.012,10.42,0.586,0.531,-0.4084,-0.2377,0.4182,0.3835,0.2854,0.3833,0.2266
101,1.414,1.411,1.425,1.409,0.0424,0.2004,0.273,0.34,0.05865,0.05865,1.326,0.8877,-0.1157,-0.1126,0.2686,0.3337,-0.027,0.0289,0.1526,0.2051,0.35,0.202,0.0716,0.03096,0.1388,-0.1189,-0.0854,0.01227,0.3306,0.3499,-0.1195,0.9565,0.802,0.6147,0.624,0.4739,1.849,1.336,1.233,-0.1565,-0.1473,-0.1449,-0.1539,-0.1164,0.2395,-0.2559,-0.439,-0.04416,-0.217,0.5156,0.3613,-0.3562,0.566,-0.03513,2.049,2.047,2.049,2.047,-0.2058,0.2559,0.0782,-0.001436,0.3403,0.6035,0.5835,0.4753,13.65,1.412,-1.036,10.42,0.5786,0.5557,-0.3313,-0.297,0.3584,0.3835,0.1469,0.3892,0.00592
102,1.405,1.415,1.416,1.403,-0.1552,-0.07947,0.1293,0.3474,0.003443,0.003443,1.273,0.8525,-0.1582,-0.1384,0.1276,0.341,-0.03604,0.01859,0.1554,0.01496,0.2013,0.1456,0.03018,-0.001203,0.171,-0.083,-0.092,0.02852,0.1718,0.3652,-0.1311,1.016,0.934,0.6455,0.657,0.513,1.606,1.314,1.236,0.0396,0.0923,0.01884,0.02213,0.02455,-0.366,-0.06,0.01243,-0.007652,-0.1749,0.5024,-0.05566,-0.5063,0.3455,0.0,2.05,2.045,2.049,2.049,-0.2128,0.192,0.07544,0.2207,0.324,0.6084,0.6304,0.3123,13.65,1.412,-1.123,10.42,0.557,0.5815,-0.2496,-0.3564,0.2988,0.3835,-0.323,0.2683,-0.1227
103,1.397,1.406,1.409,1.396,-0.1277,-0.1982,0.04297,0.269,0.1815,0.1815,1.2295,0.8228,-0.1927,-0.146,0.0424,0.222,-0.1261,0.01859,0.1538,-0.1146,0.09064,0.1083,-0.003876,-0.02808,0.1945,-0.0599,-0.1035,0.03333,0.1263,0.235,-0.2311,0.9927,0.8916,0.6343,0.627,0.4868,1.434,1.322,1.253,-0.01542,-0.03107,-0.006996,-0.0201,-0.01662,-0.2937,0.02242,0.0685,0.006405,-0.1388,0.437,-0.2844,-0.4722,0.395,0.0,2.05,2.043,2.049,2.049,-0.2214,0.11224,0.07294,0.2642,0.325,0.6113,0.659,0.2139,13.65,1.413,-1.193,10.42,0.528,0.5947,-0.1606,-0.416,0.2389,0.3835,-0.2783,0.1829,-0.11804
104,1.396,1.406,1.408,1.406,-0.02853,-0.10974,-0.01222,0.10376,0.1381,0.1381,1.22,0.8164,-0.2006,-0.1508,-0.01211,0.265,-0.02707,0.00619,0.1438,-0.1345,0.02725,0.0998,-0.01153,-0.03653,0.195,-0.03137,-0.10913,0.03137,0.002062,0.2905,-0.1139,1.397,1.173,0.943,0.8994,0.7197,1.606,1.311,1.276,0.326,0.2329,0.2141,0.2009,0.1589,0.2942,-0.03275,0.1011,0.0141,-0.1081,0.3684,-0.2954,-0.1515,0.531,0.3545,2.05,2.043,2.049,2.053,-0.2134,-0.00871,0.06885,0.2505,0.3242,0.6123,0.6416,0.2377,13.65,1.416,-1.173,10.42,0.511,0.6133,-0.0639,-0.297,0.1792,0.2788,-0.235,0.1727,-0.01912
105,1.402,1.396,1.394,1.392,0.1,0.0501,-0.07263,0.07965,0.1957,0.1957,1.254,0.8394,-0.11664,-0.1343,-0.0727,0.264,-0.0391,0.0,0.0924,-0.01747,0.03415,0.1415,0.0143,-0.02046,0.1833,-0.002485,-0.1141,0.02156,-0.0623,0.2937,-0.0975,1.165,0.9404,0.742,0.6875,0.544,1.672,1.286,1.234,-0.217,-0.2012,-0.1506,-0.1638,-0.1242,0.1558,-0.06866,-0.1759,0.0313,-0.08,0.3374,-0.1344,-0.387,0.2566,-0.03552,2.053,2.041,2.049,2.053,-0.2056,-0.01607,0.07166,0.4055,0.3367,0.6133,0.605,0.1888,13.65,1.42,-1.214,10.42,0.4768,0.6265,0.01263,-0.3564,0.11945,0.2788,0.1469,0.10114,-0.1373
106,1.391,1.403,1.399,1.39,-0.2134,-0.0803,-0.1813,-0.01401,0.1643,0.1643,1.182,0.7905,-0.175,-0.1696,-0.1818,0.06033,-0.0391,-0.0784,0.06824,-0.1302,-0.0931,0.0634,-0.03757,-0.06094,0.1476,0.008644,-0.1182,0.0009203,-0.1913,0.1133,-0.08344,0.738,0.585,0.4177,0.3867,0.2986,1.593,1.219,1.202,-0.2703,-0.2186,-0.1866,-0.1787,-0.1447,-0.1837,-0.1664,-0.1329,0.02011,-0.0599,0.2422,-0.4119,-0.5557,0.2578,0.03537,2.053,2.041,2.049,2.057,-0.2074,-0.03464,0.07025,0.4087,0.341,0.6104,0.464,0.1301,13.65,1.428,-1.276,10.42,0.4446,0.6294,0.10913,-0.416,0.05972,0.2788,-0.427,0.05545,-0.1256
107,1.395,1.392,1.404,1.39,0.0861,-0.08997,-0.07904,-0.0186,0.234,0.234,1.21,0.8096,-0.1517,-0.1555,-0.07904,0.03445,-0.0361,-0.10736,0.0767,-0.02257,-0.0527,0.09937,-0.01063,-0.04706,0.1342,0.01862,-0.1225,-0.004402,-0.0714,0.1014,-0.0849,0.754,0.5703,0.4006,0.3684,0.2805,1.247,1.149,1.152,0.00909,-0.007706,-0.008965,-0.009995,-0.01015,-0.3794,-0.1683,-0.1958,0.02083,-0.04364,0.1954,-0.2015,-0.3184,0.5996,0.0,2.053,2.04,2.049,2.057,-0.2262,-0.04623,0.0716,0.43,0.3604,0.608,0.3657,0.0754,13.65,1.435,-1.363,10.42,0.4146,0.6323,0.196,-0.416,0.0,0.244,0.2203,0.062,0.02533
108,1.39,1.399,1.397,1.394,-0.1001,-0.010086,-0.06726,-0.1289,0.1425,0.1425,1.177,0.7876,-0.179,-0.1719,-0.067,-0.01721,0.1204,-0.10126,0.02132,-0.0829,-0.1038,0.05032,-0.03198,-0.0657,0.10596,0.02252,-0.11633,-0.0084,-0.1511,0.04,0.1222,1.273,1.031,0.8003,0.7026,0.5547,1.324,1.237,1.076,0.3406,0.287,0.2303,0.1975,0.1605,0.1472,0.2064,-0.274,0.00979,-0.0329,0.129,-0.287,-0.3364,0.342,0.1777,2.053,2.04,2.049,2.057,-0.2158,-0.0742,0.06885,0.3179,0.3728,0.6035,0.185,0.1054,13.65,1.443,-1.312,10.42,0.399,0.642,0.2318,-0.416,-0.05972,0.2091,-0.235,-0.01509,-0.255
109,1.386,1.391,1.391,1.377,-0.05743,-0.11053,-0.0796,-0.1609,0.1721,0.1721,1.157,0.7744,-0.1946,-0.1813,-0.0792,-0.06464,0.0782,-0.12195,-0.01563,-0.1006,-0.1233,0.02145,-0.04135,-0.0757,0.07983,0.02243,-0.1116,-0.013016,-0.1399,-0.001015,0.09656,1.381,1.111,0.8804,0.731,0.5874,1.61,1.225,1.062,0.1093,0.0733,0.0607,0.02032,0.02194,0.3608,-0.03372,-0.0573,-0.00548,-0.02745,0.06555,-0.2747,-0.5557,0.341,0.0,2.053,2.04,2.049,2.057,-0.229,-0.06097,0.066,0.2961,0.379,0.5977,-0.011116,0.1503,13.65,1.452,-1.253,10.42,0.3938,0.6206,0.262,-0.416,-0.11945,0.1743,-0.1383,-0.248,-0.6396
110,1.383,1.386,1.39,1.375,-0.04318,-0.0706,-0.1403,-0.1249,0.1357,0.1357,1.108,0.7646,-0.2062,-0.1885,-0.1405,-0.1508,0.09607,-0.06003,-0.02415,-0.0807,-0.1196,-0.003529,-0.0498,-0.08295,0.0384,0.009254,-0.10547,-0.02893,-0.2219,-0.134,0.12177,1.28,1.031,0.7954,0.6562,0.5107,1.78,1.218,1.065,-0.1032,-0.07275,-0.0642,-0.0525,-0.05045,0.3125,-0.01913,0.01624,-0.02226,-0.02654,0.01097,-0.2358,-0.5557,0.375,0.0,2.053,2.041,2.049,2.057,-0.245,-0.03247,0.0635,0.1001,0.391,0.5933,-0.1278,0.0707,13.64,1.457,-1.372,10.42,0.3914,0.601,0.2627,-0.416,-0.1792,0.1394,-0.1175,-0.3245,0.1888
111,1.389,1.384,1.391,1.375,0.0721,0.02022,-0.01845,-0.06042,0.03857,0.03857,1.132,0.781,-0.1866,-0.1765,-0.01837,-0.1426,0.129,-0.05795,-0.027,-0.010086,-0.0553,0.01193,-0.0287,-0.0694,0.02,-0.00309,-0.0974,-0.02852,-0.0984,-0.1257,0.1605,1.328,1.151,0.9355,0.7656,0.604,1.796,1.384,1.071,0.04807,0.1108,0.10913,0.07806,0.06192,0.04752,0.3413,0.02007,-0.02704,-0.02678,-0.002993,-0.0604,-0.4873,0.461,0.0,2.05,2.041,2.049,2.057,-0.2637,0.03705,0.06647,0.1095,0.4236,0.591,-0.1926,0.0692,13.64,1.459,-1.376,10.42,0.3872,0.576,0.2644,0.3564,-0.2389,-0.3486,0.2098,-0.2769,-0.08655
112,1.358,1.384,1.372,1.381,-0.5317,-0.3242,-0.2817,-0.2235,-0.1323,-0.1323,0.9546,0.6616,-0.3306,-0.2637,-0.2817,-0.2551,0.05698,-0.1346,-0.1094,-0.3625,-0.2983,-0.1937,-0.1598,-0.163,-0.04764,-0.0234,-0.09106,-0.0597,-0.362,-0.207,0.1277,1.325,1.234,1.072,0.864,0.69,1.827,1.62,1.099,-0.003704,0.08997,0.1288,0.0787,0.06232,0.08813,0.4304,0.1074,-0.0906,-0.04007,-0.1594,-0.6763,-0.4536,-0.039,-0.2145,2.05,2.041,2.049,2.053,-0.215,-0.01203,0.063,-0.2207,0.4573,0.5825,-0.3438,0.5854,13.64,1.463,-0.987,10.42,0.413,0.567,0.2094,0.416,-0.2988,-0.4182,-0.4045,-0.486,0.3716
113,1.374,1.359,1.367,1.366,0.2937,-0.1718,-0.1169,-0.1624,-0.07983,-0.07983,1.0205,0.726,-0.253,-0.2167,-0.117,-0.1301,0.06287,-0.0726,-0.1321,-0.06097,-0.11896,-0.091,-0.0825,-0.1081,-0.0799,-0.03354,-0.0837,-0.0717,-0.1726,-0.1031,0.148,1.044,0.9683,0.8276,0.6396,0.513,1.891,1.597,1.048,-0.2305,-0.2417,-0.2083,-0.1646,-0.12146,0.1815,-0.0794,-0.1873,-0.1069,-0.05402,-0.1677,-0.03583,-0.10406,0.529,0.0,2.049,2.043,2.049,2.05,-0.2102,-0.006077,0.0653,-0.228,0.4946,0.5796,-0.396,0.5366,13.64,1.464,-1.009,10.42,0.4412,0.5786,0.1675,0.416,-0.3584,-0.4531,0.3672,-0.3855,-0.11194
114,1.403,1.374,1.386,1.392,0.523,0.5776,0.1295,0.0748,0.02075,0.02075,1.168,0.8423,-0.1128,-0.1318,0.1296,0.0348,0.2067,-0.02281,-0.074,0.342,0.1564,0.0851,0.05203,-0.01295,-0.07477,-0.02843,-0.0699,-0.05334,0.02756,0.05203,0.276,1.189,1.127,0.934,0.738,0.612,1.869,1.575,1.056,0.1124,0.1364,0.0843,0.06866,0.06555,-0.07043,-0.07404,0.02608,-0.05988,-0.0555,-0.01808,0.6475,0.07886,0.5474,-0.07214,2.05,2.043,2.049,2.049,-0.1953,0.048,0.06805,0.3086,0.4932,0.5835,-0.281,0.836,13.64,1.459,-0.8853,10.42,0.4167,0.56,0.1296,0.3564,-0.4182,-0.4531,0.5317,0.01743,-0.4277
